2007,Used,Dodge,Magnum,N/A,Wagon,White,5,360000,Automatic,Gasoline,2500,false,"Includes: Sunroof, Alloy wheels, Cruise control, Air conditioning",https://www.kijiji.ca/v-cars-trucks/edmonton/dodge-magnum/1426447335
2003,Used,Subaru,Outback,3.0 H6,Wagon,Other,5,224428,Automatic,Gasoline,3000,false,None,https://www.kijiji.ca/v-cars-trucks/edmonton/2003-motorized-hammock/1428748122
1984,Used,Jeep,Wagoneer,N/A,Wagon,Green,5,89000,Automatic,Gasoline,2500,false,None,https://www.kijiji.ca/v-cars-trucks/edmonton/jeep-wagoneer/1382132743
2002,Used,Subaru,Impreza,TS,Wagon,Blue,5,253233,Automatic,Gasoline,3000,false,"Includes: Alloy wheels, Cruise control, Air conditioning",https://www.kijiji.ca/v-cars-trucks/edmonton/2002-impreza/1428255233
2005,Used,Subaru,Outback,XT Limited,Wagon,Gold,5,180000,Manual,N/A,1000,false,None,https://www.kijiji.ca/v-cars-trucks/edmonton/2005-subaru-outback-xt/1429185547
1994,Used,Jeep,Cherokee,Classic,Wagon,Blue,5,309484,Manual,Gasoline,1100,false,None,https://www.kijiji.ca/v-cars-trucks/edmonton/1994-jeep-cherokee/1424134043
1994,Used,Volvo,940,N/A,Wagon,Grey,7,177000,Automatic,Gasoline,2000,false,"Includes: Sunroof, Air conditioning",https://www.kijiji.ca/v-cars-trucks/edmonton/1994-volvo-940-turbo-wagon/1428165257
1985,Used,Chevrolet,Caprice,N/A,Wagon,N/A,0,0,N/A,N/A,1,false,None,https://www.kijiji.ca/v-cars-trucks/edmonton/iso-chevrolet-caprice-wagon-regency-wagon/1421397374
2003,Used,Volkswagen,GTI,GTI,Wagon,Silver,5,202000,Manual,Gasoline,1700,false,None,https://www.kijiji.ca/v-cars-trucks/edmonton/2003-volkswagen-gti-and-2003-volkswagen-1-8t-wagon/1428843254
2007,Used,Nissan,Quest,N/A,Wagon,Silver,7,230000,Automatic,Gasoline,2200,false,None,https://www.kijiji.ca/v-cars-trucks/edmonton/2007-nissan-quest-wagon/1429294588
2001,Used,Chrysler,PT Cruiser,N/A,Wagon,Red,5,160777,Automatic,Gasoline,3000,false,None,https://www.kijiji.ca/v-cars-trucks/edmonton/great-deal-pt-cruiser/1421669318
2005,Used,Saab,9-2X,Aero,Wagon,Silver,5,179000,Manual,Gasoline,1900,false,None,https://www.kijiji.ca/v-cars-trucks/edmonton/2005-saab-92x-aero/1426671621
2005,Used,Dodge,Magnum,N/A,Wagon,N/A,0,250000,N/A,N/A,600,false,None,https://www.kijiji.ca/v-cars-trucks/edmonton/dodge-magnum-need-gone/1420856147
